[4.500518970191479],[4.499978376552463]
X,Y
[4.692207621817943],[4.69154130294919]
X,Y
[4.875424633792136],[4.874054175801575]
X,Y
[5.058687311364338],[5.058417746797204]
X,Y
[0],[0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.17621083825360984],[0.1771301906555891]
X,Y
[0.3523759977542795],[0.35240968596190214]
X,Y
[0.5793253041338176],[0.5801388239488006]
X,Y
[0.7554904437856749],[0.7554183276370168]
X,Y
[0.9302816949784756],[0.930731744505465]
X,Y
[0],[0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.18042382161365822],[0.18072986882179976]
X,Y
[0.3608476361259818],[0.3614597413688898]
X,Y
[0.5948033583699726],[0.5945714469999075]
X,Y
[0.7723880466655828],[0.7716677449643612]
X,Y
[0.954231382580474],[0.9542144229635596]
X,Y
[1.1586048440658487],[1.158426994457841]
X,Y
[1.3361895063426346],[1.3355233054608107]
X,Y
[1.5194523646496236],[1.5198867917060852]
X,Y
[1.7055086440523155],[1.706033168360591]
X,Y
[1.8830932790297084],[1.8831294933333993]
X,Y
[2.0663104354171082],[2.0656422954052687]
X,Y
[2.248153705149889],[2.248189006000757]
X,Y
[2.4441011304734275],[2.445202251896262]
X,Y
[2.634324670652859],[2.633097636513412]
X,Y
[2.816167911340017],[2.815644359216094]
X,Y
[2.99659158999566],[2.996374297887087]
X,Y
[3.2009649362880737],[3.200586926192045]
X,Y
[3.3898145550629124],[3.388516233302653]
X,Y
[3.5702838779543526],[3.5710968812927604]
X,Y
[3.759133479325101],[3.7590261986479163]
X,Y
[3.9367180119734257],[3.9361225739121437]
X,Y
[4.1227741648908705],[4.122269010171294]
X,Y
[4.3299408733146265],[4.328264559619129]
X,Y
[4.511784027097747],[4.510811326093972]
X,Y
[4.704892227891833],[4.704191045835614]
X,Y
[4.883896263199858],[4.883104236796498]
X,Y
[5.06573938857764],[5.065651016309857]
X,Y
[5.2827972180675715],[5.282513444311917]
X,Y
[5.459007793921046],[5.4596437606960535]
X,Y
[5.639385669841431],[5.638523064553738]
X,Y
[5.833913356589619],[5.833719607442617]
X,Y
[6.011497785802931],[6.010816031135619]
X,Y
